Nozare,Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" jauktais koris ""Garkalne""",LV-KOLEKTIVS-016704,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" jauktais koris ""Pa saulei""",LV-KOLEKTIVS-016074,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" rokdarbu pulcins ""Strauts""",LV-KOLEKTIVS-013040,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" senioru deju kolektivs ""Baltabele""",LV-KOLEKTIVS-011460,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" senioru vokalais ansamblis ""Strauts""",LV-KOLEKTIVS-012930,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" tautas deju ansamblis ""Ritenitis""",LV-KOLEKTIVS-011506,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" videjas paaudzes deju kolektivs ""Greizie rati""",LV-KOLEKTIVS-011505,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" videjas paaudzes tautas deju kolektivs ""Saime""",LV-KOLEKTIVS-016689,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Dubeni"" amatierteatris ",LV-KOLEKTIVS-010318,"Ozolu iela 1, Dubeni, Grobinas pag., Grobinas nov., LV-3438",56.47562,21.20064,262531,327587
Makslinieciskie kolektivi,"Kulturas centra ""Dubeni"" bernu teatra pulcins",LV-KOLEKTIVS-010315,"Ozolu iela 1, Dubeni, Grobinas pag., Grobinas nov., LV-3438",56.47562,21.20064,262531,327587
Makslinieciskie kolektivi,"Kulturas centra ""Rekova"" vokalais ansamblis ""Balsenis""",LV-KOLEKTIVS-017093,"Skolas iela 1, Rekova, sķilbenu pag., Vilakas nov., LV-4587",57.04148,27.61845,327823,719509
Nevalstiskas organizacijas,"Kulturas darbinieku asociacija ""Baltijas varaviksne""",LV-NVO-009375,"Liepajas iela 5A-5, Riga, LV-1002",56.93225,24.07089,309847,504314
Parvaldes institucijas,Kulturas informacijas sistemu centrs,LV-PARVALDE-000215,"Terbatas iela 53-2, Riga, LV-1011",56.9567,24.1271,312574,507730
Nevalstiskas organizacijas,Kulturas koledžas atbalsta biedriba,LV-NVO-012790,"Bruninieku iela 57, Riga, LV-1011",56.95478,24.13482,312361,508200
